slug,title,description,keywords,author,image,canonical,faq_schema,howto_schema,article_schema,product_schema,search_schema,dataset_schema
/agents/getting-started/chat-interface,Customize AI agent chat interface in DronaHQ,"Learn how to configure the DronaHQ AI agent chat interface, including agent name, welcome message, suggested prompts, file upload, notices, branding, and the embedded chat experience users interact with.","AI agent chat interface, DronaHQ chat UI, customize chat widget, suggested prompts, embedded agent chat",,,,"{""@context"":""https://schema.org"",""@type"":""FAQPage"",""mainEntity"":[{""@type"":""Question"",""name"":""What can I customize in the DronaHQ chat interface?"",""acceptedAnswer"":{""@type"":""Answer"",""text"":""You can customize the display name, initial message, suggested prompts, placeholder text, file upload, feedback controls, branding, dismissible notices, and footer text in the agent chat interface.""}},{""@type"":""Question"",""name"":""Is the chat interface different from channel-based triggers?"",""acceptedAnswer"":{""@type"":""Answer"",""text"":""Yes. The chat interface is the embedded in-app experience, while channels like WhatsApp, Instagram, and Facebook Messenger let the same agent operate over external messaging surfaces.""}}]}","{""@context"":""https://schema.org"",""@type"":""HowTo"",""name"":""Customize the AI agent chat interface in DronaHQ"",""description"":""Step-by-step guide to configure the DronaHQ AI agent chat interface"",""step"":[{""@type"":""HowToStep"",""name"":""Open chat interface settings"",""text"":""Go to your agent configuration in DronaHQ and open the Chat Interface section.""},{""@type"":""HowToStep"",""name"":""Set core messages"",""text"":""Configure the display name, welcome message, placeholder text, and footer content for the agent.""},{""@type"":""HowToStep"",""name"":""Add suggested prompts"",""text"":""Create suggested messages that help users start common conversations faster.""},{""@type"":""HowToStep"",""name"":""Adjust interface options"",""text"":""Enable or disable file upload, feedback controls, branding, and notice settings based on your use case.""},{""@type"":""HowToStep"",""name"":""Save and preview"",""text"":""Save the configuration and test the embedded agent chat experience in your app.""}]}",,,,
/agents/getting-started/credit-usage,AI agent pricing and credit usage,"Learn how credits are calculated in DronaHQ Agents across model input and output tokens, knowledge base usage, file parsing, crawling, text extraction, and supported model pricing.","DronaHQ credits, AI credit usage, token pricing, knowledge base credits, agent billing",,,,"{""@context"":""https://schema.org"",""@type"":""FAQPage"",""mainEntity"":[{""@type"":""Question"",""name"":""How are AI credits calculated in DronaHQ Agents?"",""acceptedAnswer"":{""@type"":""Answer"",""text"":""Credits are calculated from model input and output tokens, along with platform operations such as knowledge base retrieval, file parsing, URL crawling, and text extraction.""}},{""@type"":""Question"",""name"":""Do knowledge base operations use credits?"",""acceptedAnswer"":{""@type"":""Answer"",""text"":""Yes. Crawling URLs, processing document pages, and generating embeddings for knowledge base content consume credits separately from model token usage.""}}]}","{""@context"":""https://schema.org"",""@type"":""HowTo"",""name"":""Understand AI agent credit usage in DronaHQ"",""description"":""Step-by-step guide to review how credits are consumed across DronaHQ Agents features"",""step"":[{""@type"":""HowToStep"",""name"":""Review model usage"",""text"":""Check how input and output token usage contributes to overall credit consumption for the selected model.""},{""@type"":""HowToStep"",""name"":""Review knowledge operations"",""text"":""Understand how crawling, parsing, text extraction, and embedding generation add to credit usage.""},{""@type"":""HowToStep"",""name"":""Compare pricing by model"",""text"":""Use the pricing information to understand how different models affect overall credit consumption.""},{""@type"":""HowToStep"",""name"":""Plan usage for your workflow"",""text"":""Estimate credit usage across instructions, tools, knowledge base operations, and channel activity before deploying the agent.""}]}",,,,
/agents/getting-started/instruction,"AI agent instructions: best practices, examples, and template","Learn how to write effective AI agent instructions in DronaHQ so your agent knows its role, tone, boundaries, tool behavior, knowledge usage, and how to respond reliably across real workflows.","AI agent instructions, write agent instructions, DronaHQ instruction guide, agent behavior design, instruction template",,,,"{
""@context"": ""https://schema.org"",
""@type"": ""FAQPage"",
""mainEntity"": [
{
""@type"": ""Question"",
""name"": ""What should AI agent instructions include?"",
""acceptedAnswer"": {
""@type"": ""Answer"",
""text"": ""AI agent instructions should define the agent's role, task boundaries, tone, expected behavior, tool-use rules, knowledge access, response format, and how to handle ambiguity, low confidence, or escalation. A good instruction set helps the agent act consistently across real workflows instead of responding like a generic chatbot.""
}
},
{
""@type"": ""Question"",
""name"": ""How are agent instructions different from prompts?"",
""acceptedAnswer"": {
""@type"": ""Answer"",
""text"": ""Agent instructions define the agent's ongoing behavior, rules, and operating context. Prompts are the task-specific inputs a user sends during a conversation. In simple terms, instructions shape how the agent should behave every time, while prompts tell it what to work on in a given moment.""
}
},
{
""@type"": ""Question"",
""name"": ""How long should agent instructions be?"",
""acceptedAnswer"": {
""@type"": ""Answer"",
""text"": ""Agent instructions should be as detailed as needed to make the agent reliable, but not so long that they become repetitive, conflicting, or hard to follow. The goal is clarity, structure, and coverage of important behaviors rather than length for its own sake.""
}
},
{
""@type"": ""Question"",
""name"": ""What are common mistakes in writing agent instructions?"",
""acceptedAnswer"": {
""@type"": ""Answer"",
""text"": ""Common mistakes include giving the agent a vague role, mixing too many rules into one block, leaving tool usage undefined, skipping edge cases, not specifying boundaries, and failing to explain how the agent should respond when it is unsure. Weak instructions often make the agent sound generic or behave inconsistently.""
}
},
{
""@type"": ""Question"",
""name"": ""Should agent instructions include tool-use rules?"",
""acceptedAnswer"": {
""@type"": ""Answer"",
""text"": ""Yes. If an agent can use tools, the instructions should explain when to use them, what each tool is for, and any limits or precautions around tool execution. This helps the agent know when to fetch data, take action, ask for confirmation, or avoid unnecessary tool calls.""
}
},
{
""@type"": ""Question"",
""name"": ""How do you handle uncertainty in agent instructions?"",
""acceptedAnswer"": {
""@type"": ""Answer"",
""text"": ""Agent instructions should tell the agent what to do when the input is unclear, the answer is uncertain, or the request falls outside its scope. This often includes asking clarifying questions, avoiding unsupported claims, escalating when needed, or clearly stating that more information is required.""
}
}
]
}","{""@context"":""https://schema.org"",""@type"":""HowTo"",""name"":""Write AI agent instructions in DronaHQ"",""description"":""Step-by-step guide to create effective instructions for DronaHQ agents"",""step"":[{""@type"":""HowToStep"",""name"":""Define the agent role"",""text"":""Start by describing who the agent is and what job it is responsible for.""},{""@type"":""HowToStep"",""name"":""Set response style"",""text"":""Specify tone, formatting preferences, and how the agent should communicate with users.""},{""@type"":""HowToStep"",""name"":""Add boundaries and rules"",""text"":""Define what the agent can do, what it must avoid, and how to behave in restricted scenarios.""},{""@type"":""HowToStep"",""name"":""Guide knowledge and tool use"",""text"":""Explain which tools or knowledge sources the agent should use and under what conditions.""},{""@type"":""HowToStep"",""name"":""Handle edge cases"",""text"":""Add instructions for ambiguity, low confidence, unsupported requests, and escalation paths.""},{""@type"":""HowToStep"",""name"":""Test and refine"",""text"":""Review the agent behavior in practice and improve the instructions based on observed responses.""}]}",,,,
/agents/getting-started/introduction,Introduction to building AI agents on DronaHQ,"Get started with DronaHQ Agents and learn how to build AI agents that reason over context, use tools, respond through chat or business channels, and run real workflows across your systems.","DronaHQ Agents, AI agents platform, build AI agents, agentic workflows, business automation agents",,,,"{
""@context"": ""https://schema.org"",
""@type"": ""FAQPage"",
""mainEntity"": [
{
""@type"": ""Question"",
""name"": ""What are DronaHQ Agents?"",
""acceptedAnswer"": {
""@type"": ""Answer"",
""text"": ""DronaHQ Agents are AI agents that can reason over context, use tools, retrieve knowledge, and execute real workflows across business systems. They are designed to do more than answer questions by helping teams automate tasks, update systems, and handle operational work.""
}
},
{
""@type"": ""Question"",
""name"": ""How are DronaHQ Agents different from a basic chatbot or agent framework?"",
""acceptedAnswer"": {
""@type"": ""Answer"",
""text"": ""DronaHQ Agents are built for execution, not just conversation. Along with model reasoning, they include structured interfaces, triggers, tools, knowledge base, guardrails, and traces so agents can operate safely across apps, databases, APIs, and external business systems.""
}
},
{
""@type"": ""Question"",
""name"": ""What do I need to get started with DronaHQ Agents?"",
""acceptedAnswer"": {
""@type"": ""Answer"",
""text"": ""To get started, you need a DronaHQ account and access to DronaHQ Agents. From there, you can create an agent, add instructions, connect tools or knowledge sources, choose where the agent should run, and begin testing it.""
}
},
{
""@type"": ""Question"",
""name"": ""What core components can I configure in a DronaHQ Agent?"",
""acceptedAnswer"": {
""@type"": ""Answer"",
""text"": ""A DronaHQ Agent can be configured with instructions, tools, triggers, knowledge base, and safety controls. Together, these help define what the agent should do, what data or systems it can access, how it gets activated, and how it stays reliable in production.""
}
},
{
""@type"": ""Question"",
""name"": ""Where can DronaHQ Agents run?"",
""acceptedAnswer"": {
""@type"": ""Answer"",
""text"": ""DronaHQ Agents can run inside an embedded chat interface as well as through external channels and triggers such as WhatsApp, Instagram, Facebook Messenger, email, webhooks, scheduled runs, and connected business events.""
}
},
{
""@type"": ""Question"",
""name"": ""Can DronaHQ Agents work with company data and business tools?"",
""acceptedAnswer"": {
""@type"": ""Answer"",
""text"": ""Yes. DronaHQ Agents can connect to internal databases, APIs, enterprise tools, and knowledge sources so they can retrieve information, take actions, and complete tasks using approved business context.""
}
},
{
""@type"": ""Question"",
""name"": ""How do DronaHQ Agents stay grounded and safe?"",
""acceptedAnswer"": {
""@type"": ""Answer"",
""text"": ""DronaHQ Agents can use a knowledge base to ground responses in approved sources, tools to work with live systems, and guardrails to control what goes into and comes out of the model. Traces also help teams inspect how the agent reasoned, what tools it used, and how each run performed.""
}
},
{
""@type"": ""Question"",
""name"": ""What kinds of workflows can I build with DronaHQ Agents?"",
""acceptedAnswer"": {
""@type"": ""Answer"",
""text"": ""You can build agents for use cases such as lead qualification, customer support, reconciliation, appointment scheduling, internal knowledge assistance, IT service tasks, and other workflows that need both reasoning and action across connected systems.""
}
}
]
}","{""@context"":""https://schema.org"",""@type"":""HowTo"",""name"":""Get started with DronaHQ Agents"",""description"":""Step-by-step guide to set up your first AI agent in DronaHQ"",""step"":[{""@type"":""HowToStep"",""name"":""Open DronaHQ Agents"",""text"":""Sign in to DronaHQ and open the Agents section to begin setup.""},{""@type"":""HowToStep"",""name"":""Create an agent"",""text"":""Start a new agent and define its basic purpose and operating context.""},{""@type"":""HowToStep"",""name"":""Add instructions and tools"",""text"":""Configure the agent instructions and connect the tools or knowledge sources it should use.""},{""@type"":""HowToStep"",""name"":""Choose a trigger or channel"",""text"":""Select how the agent should start, such as chat, webhook, scheduler, or business messaging channels.""},{""@type"":""HowToStep"",""name"":""Test and deploy"",""text"":""Run tests, review the responses, and deploy the agent into your chosen app or workflow.""}]}",,,,
/agents/getting-started/keywords,What are keywords in Agents and how to use runtime variables and context in AI instructions,"Learn how predefined keywords work in DronaHQ Agents so you can inject logged-in user details, runtime context, and agent state into instructions and make responses more context-aware.","agent keywords, DronaHQ keywords, predefined variables, runtime context, instruction variables",,,,"{""@context"":""https://schema.org"",""@type"":""FAQPage"",""mainEntity"":[{""@type"":""Question"",""name"":""What are keywords in DronaHQ Agents?"",""acceptedAnswer"":{""@type"":""Answer"",""text"":""Keywords are predefined variables that expose runtime details such as logged-in user information, agent context, and other dynamic values inside agent instructions.""}},{""@type"":""Question"",""name"":""Why are keywords useful in agent instructions?"",""acceptedAnswer"":{""@type"":""Answer"",""text"":""Keywords help you make agent behavior more context-aware by injecting live values into instructions instead of hardcoding them.""}}]}","{""@context"":""https://schema.org"",""@type"":""HowTo"",""name"":""Use agent keywords in DronaHQ instructions"",""description"":""Step-by-step guide to add runtime variables and context inside DronaHQ agent instructions"",""step"":[{""@type"":""HowToStep"",""name"":""Review available keywords"",""text"":""Check the predefined keywords exposed by DronaHQ for logged-in users, runtime context, and agent state.""},{""@type"":""HowToStep"",""name"":""Insert keywords into instructions"",""text"":""Reference the relevant keywords inside the instruction block where contextual information is needed.""},{""@type"":""HowToStep"",""name"":""Use keywords for dynamic behavior"",""text"":""Apply the variables to personalize responses, enforce context, or guide actions based on the current user or session.""},{""@type"":""HowToStep"",""name"":""Test with real sessions"",""text"":""Run the agent in a real or preview environment to confirm that the keywords resolve correctly at runtime.""}]}",,,,
/agents/getting-started/semantic-query,Natural language to SQL: use semantic query for structured data access,Learn how Semantic Query in DronaHQ lets agents turn natural-language questions into structured queries so users can retrieve data from databases and APIs without writing SQL themselves.,"semantic query, natural language to SQL, structured data query, DronaHQ semantic query, AI data retrieval",,,,"{""@context"":""https://schema.org"",""@type"":""FAQPage"",""mainEntity"":[{""@type"":""Question"",""name"":""What does Semantic Query do in DronaHQ?"",""acceptedAnswer"":{""@type"":""Answer"",""text"":""Semantic Query helps the agent convert natural-language questions into executable structured queries against databases or APIs.""}},{""@type"":""Question"",""name"":""Do users need to know SQL to use Semantic Query?"",""acceptedAnswer"":{""@type"":""Answer"",""text"":""No. Semantic Query is designed so end users can ask questions in natural language without understanding SQL syntax or the underlying schema.""}}]}","{""@context"":""https://schema.org"",""@type"":""HowTo"",""name"":""Use Semantic Query in DronaHQ Agents"",""description"":""Step-by-step guide to enable natural-language access to structured data with Semantic Query"",""step"":[{""@type"":""HowToStep"",""name"":""Connect a data source"",""text"":""Start by connecting the structured data source or API that will be queried.""},{""@type"":""HowToStep"",""name"":""Enable Semantic Query"",""text"":""Configure the Semantic Query capability so user intent can be translated into query logic.""},{""@type"":""HowToStep"",""name"":""Map output handling"",""text"":""Define how generated query results should be returned to the user or used by the agent.""},{""@type"":""HowToStep"",""name"":""Test natural-language prompts"",""text"":""Ask representative questions and verify that the returned data matches the intended request.""}]}",,,,
/agents/getting-started/tools-overview,"AI agent tools in DronaHQ: connect actions, data, and external systems","Learn how tools work in DronaHQ Agents, from built-in capabilities to connected services, so your agent can fetch data, trigger actions, and do more than just generate text.","DronaHQ tools, AI agent tools, built-in tools, agent integrations, tool calling",,,,"{""@context"":""https://schema.org"",""@type"":""FAQPage"",""mainEntity"":[{""@type"":""Question"",""name"":""What are tools in DronaHQ Agents?"",""acceptedAnswer"":{""@type"":""Answer"",""text"":""Tools are built-in capabilities and connected services that let a DronaHQ agent retrieve data, take actions, and interact with external systems.""}},{""@type"":""Question"",""name"":""Why do tools matter for AI agents?"",""acceptedAnswer"":{""@type"":""Answer"",""text"":""Tools let an agent do more than generate text by giving it the ability to read data, trigger workflows, and execute useful actions across systems.""}}]}","{""@context"":""https://schema.org"",""@type"":""HowTo"",""name"":""Use tools in DronaHQ Agents"",""description"":""Step-by-step guide to connect tools and actions to a DronaHQ AI agent"",""step"":[{""@type"":""HowToStep"",""name"":""Open tool configuration"",""text"":""Go to the agent setup in DronaHQ and open the Tools section.""},{""@type"":""HowToStep"",""name"":""Add built-in or connected tools"",""text"":""Choose the tools the agent should use, including platform capabilities and connected services.""},{""@type"":""HowToStep"",""name"":""Define when tools should be used"",""text"":""Guide the agent through instructions that explain when to call a tool and what kind of task it supports.""},{""@type"":""HowToStep"",""name"":""Test tool execution"",""text"":""Run sample prompts and verify that the agent uses the tools correctly and returns the expected output.""}]}",,,,
